1677235860 0
1677241474 419
1677242432 432
1677422576 432
1677424469 432
1677750940 30154
1677756752 30154
1677769407 30154
1677769619 30154
1677769644 30154
1677769730 30154
1677770442 30173
1677771106 30374
1677794333 30374
1677849085 30374
1677851113 30374
1677854118 30511
1678029891 30578
1678030005 30636
1678269763 30636
1678270593 30634
1678300330 30634
1678358059 30635
1678358096 30644
1678459972 30644
1678476294 30690
1678477750 30695
1678538505 30794
1678629525 30845
1678629572 30847
1678646944 30919
1678901120 30919
1678901129 31161
1678955106 31161
1678957386 31261
1678958564 19030
1678962621 19096
1678962636 19095
1679212690 19138
1679212701 19613
1679212770 19613
1679240871 19614
1679243684 19631
1679243708 19652
1679243936 19649
1679250387 19690
1679251420 19738
1679262840 19805
1679316566 19836
1679316575 19836
1679317545 19842
1679321498 19852
1679355547 19964
1679355607 19963
1679432690 20022
1679482751 20026
1679499944 20055
1679565600 20070
1679565625 20116
1679566929 20127
1679567162 20120
1679567574 20131
1679569415 20141
1679569590 20189
1679740595 20239
1679740970 20512
1679836070 20512
1679838917 20512
1679850432 20750
1679940682 20812
1679941690 20887
1680027978 20875
1680029065 20966
1680115189 21538
1680115205 21600
1680118251 21637
1680118261 21630
1680119440 21633
1680124215 22545
1680124308 22788
1680159955 22788
1680206823 22778
1680211251 22851
1680284667 22913
1680813719 22913
1680813959 23031
1681151903 23043
1681154850 23151
1681224730 23147
1681652033 23046
1681835765 23380
1681908832 23433
1681909473 23433
1681977235 23433
1681984756 23450
1681984769 23459
1681985028 23459
1681987384 23459
1681990726 23490
1681997005 23271
1682001576 23100
1682002146 23084
1682005152 23068
1682053799 23062
1682058964 23397
1682188158 23562
1682194152 23563
1682200628 23564
1682342298 23570
1682363355 23564
1682513326 23796
1682513889 23782
1682581960 23782
1682590118 23850
1682590145 23878
1682590209 23883
1682612310 23899
1682613673 23899
1682622631 23932
1682699803 23986
1682709050 23986
1682717881 24020
1682719357 24025
1682721130 24114
1683054826 24119
1683117935 24184
1683119219 24186
1683148267 24302
1683192109 24332
1683192119 24521
1683210007 24533
1683210556 24533
1683288923 24576
1683449211 24554
1683450133 24554
1683450352 24554
1683470497 24595
1683470522 24638
1683482679 24667
1683486841 24644
1683486990 24643
1683487276 24643
1683508703 24733
1683513283 24754
1683791791 24774
1683792031 24784
1683793564 24814
1683795184 24812
1683798049 24875
1683798279 24874
1683798359 24869
1683800198 24935
1683800298 24979
1683804204 24981
1683809135 24983
1683810532 25023
1683812615 25060
1683812929 25074
1683813112 25074
